date,address,floor,type,age,twPing,bedRoom,livingRoom,restRoom,furniture,elevator,parkingSpace,price
2022-10-31,台北市中山區松江路２６巷３６號六樓,6,套房,43,10.5572503839,1,1,1,1,1,0,14500.0
2022-11-08,台北市中山區新生北路三段１２號八樓之１,8,套房,11,17.84145064878,1,0,1,1,1,0,23000.0
2022-11-09,台北市內湖區內湖路１段６５９號４樓之１,4,住宅,13,13.66997549709,1,0,1,1,1,0,19501.0
2022-10-31,台北市中山區林森北路４７２號十樓之４,10,住宅,27,19.07565069366,1,0,1,1,1,0,15000.0
2022-10-19,台北市中山區新生北路４８號四樓之２,4,住宅,40,18.452500671,2,1,1,1,1,0,20000.0
2022-10-28,台北市中山區中山北路一段１０５巷１２號３樓之３,3,住宅,6,18.84877568541,3,1,2,1,1,0,50000.0
2022-11-09,台北市萬華區成都路１１０號６樓之２,6,套房,46,9.22927533561,1,0,1,1,1,0,12000.0
2022-10-25,台北市萬華區中華路２段４９８巷５號９樓,9,住宅,44,18.10160065824,2,1,1,1,1,0,20200.0
2022-10-26,台北市南港區福德街３１０巷１８弄２號四樓,4,住宅,46,22.993025836110004,2,2,1,1,0,0,19500.0
2022-10-31,台北市南港區重陽路１６６巷４弄２０號二樓,2,住宅,51,21.03282576483,3,2,2,1,0,0,24000.0
2022-10-18,台北市信義區信義路五段１２６號５樓之８,5,套房,19,66.9130024332,1,1,1,1,1,0,110000.0
2022-11-09,台北市南港區玉成街１３０號,1,住宅,49,29.82045108438,0,0,0,0,0,0,120000.0
2022-11-04,台北市北投區幽雅路７號七樓之１５,7,套房,14,17.514750636900004,1,0,1,1,1,0,18000.0
2022-11-08,台北市文山區木柵路一段５９巷１１弄１２號５樓,5,住宅,42,24.72030089892,3,2,1,1,0,0,18000.0
2022-10-31,台北市文山區興隆路４段１４５巷２０號四樓,4,住宅,39,34.91455126962,3,2,1,1,0,0,19000.0
2022-11-03,台北市大安區信義路三段１３４巷９４號三樓,3,住宅,37,37.97282638083,3,2,2,1,1,0,45000.0
2022-11-03,台北市信義區忠孝東路五段７７８號３樓,3,住宅,38,32.26465117326,3,2,2,0,1,0,36000.0
2022-10-27,台北市信義區忠孝東路五段２３６巷４５弄３號４樓,4,住宅,24,62.80505228382,2,2,1,1,1,1,78000.0
2022-10-28,台北市信義區莊敬路３９１巷３弄１號２樓,2,住宅,51,30.1290010956,3,2,2,0,0,0,32000.0
2022-11-06,台北市信義區永吉路１２０巷９０號六樓,6,住宅,38,31.56285114774,3,2,2,1,1,0,43000.0
2022-11-10,台北市萬華區雙園街４０巷２５號２樓,2,住宅,48,29.63290107756,3,2,1,1,0,0,25500.0
2022-10-15,台北市萬華區青年路１０６巷２８號四樓,4,住宅,48,9.43195034298,2,1,1,1,0,0,12000.0
2022-10-31,台北市大安區忠孝東路三段２５１巷４弄１４號,1,住宅,51,26.60185096734,0,0,0,0,1,0,62000.0
2022-10-31,台北市士林區承德路四段１９５巷１２號８樓之１,8,住宅,15,43.63562658675,3,2,2,1,1,0,56000.0
2022-10-28,台北市北投區榮華三路２３號４樓之１,4,住宅,16,72.23397762669,3,2,2,1,1,0,90000.0
2022-10-07,台北市士林區基河路２３８號５樓之９,5,住宅,27,10.87487539545,1,0,1,1,1,0,13000.0
2022-11-13,台北市文山區政大二街１３１號二樓,2,住宅,27,56.81555206602,4,2,2,1,1,0,27800.0
