date,address,floor,type,age,twPing,bedRoom,livingRoom,restRoom,furniture,elevator,parkingSpace,price
2020-08-11,台北市內湖區東湖路１０６巷４號２樓,2,住宅,42,27.43372599759,3,1,1,1,0,0,14000.0
2020-08-12,台北市中山區中山北路二段７２巷９號４樓之５,4,套房,15,15.427500561,1,1,1,1,1,0,30000.0
2020-08-27,台北市中山區民權東路二段２０６號四樓,4,住宅,37,23.280400846560003,3,2,1,1,1,0,28000.0
2020-09-05,台北市中山區農安街２２７巷１-１號,1,住宅,38,35.41367628777,0,0,2,0,1,0,55000.0
2020-08-28,台北市內湖區民權東路六段１８０巷７３號四樓,4,住宅,6,34.37005124982,2,1,1,0,1,1,42000.0
2020-08-25,台北市萬華區青年路１７８巷７０號５樓之２,5,住宅,48,11.31652541151,2,1,1,1,0,0,11000.0
2020-09-03,台北市大同區市民大道一段２０１號十六樓之７,16,住宅,14,35.73130129932,2,2,2,1,1,0,67500.0
2020-09-03,台北市松山區八德路四段７６５號１４樓之７,14,住宅,26,16.126275586410003,1,1,1,1,1,0,19000.0
2020-08-19,台北市信義區基隆路一段１０１巷５之１號３樓,3,住宅,16,41.31545150238,2,2,1,1,1,1,50000.0
2020-08-28,台北市信義區永吉路３０巷１４５號二樓之１,2,套房,16,27.00720098208,1,1,1,1,1,0,39500.0
2020-08-14,台北市士林區倫等街４８巷１９號二樓,2,住宅,52,23.49517585437,2,2,1,1,0,0,15000.0
2020-08-25,台北市北投區溫泉路６８號,1,住宅,50,27.09492598527,3,2,1,1,0,0,30000.0
2020-08-29,台北市文山區羅斯福路六段２３６號三樓,3,住宅,45,19.37815070466,2,1,1,1,0,0,17000.0
2020-09-02,台北市文山區萬芳路６０之１７號５樓,5,住宅,16,21.03585076494,2,1,1,1,1,0,23106.0
2020-08-28,台北市中山區林森北路１０７巷３號３樓本號,3,住宅,9,24.3512508855,0,0,0,1,1,0,24500.0
2020-08-27,台北市中山區德惠街１６號１０樓之１、之２,10,住宅,41,17.68717564317,2,2,1,1,1,0,26000.0
2020-09-01,台北市中山區中山北路１段８３巷３６號９樓,9,住宅,15,40.232501463,3,2,2,1,1,0,63000.0
2020-08-24,台北市中山區林森北路５８５號６樓之１,6,住宅,12,31.86535115874,2,1,1,1,1,0,54000.0
2020-09-01,台北市中山區雙城街２５巷７號７樓,7,住宅,8,52.235701899480006,4,2,2,1,1,0,60000.0
2020-08-29,台北市南港區研究院路二段１２巷１４弄５２號五樓,5,住宅,42,30.186476097690004,2,2,1,1,0,0,17000.0
2020-09-04,台北市信義區永吉路３０巷１６７弄１８之３號,4,住宅,51,28.06292602047,2,2,2,1,0,0,35000.0
2020-08-07,台北市信義區信義路五段８巷７號３樓,3,住宅,25,76.02127776441,3,2,2,1,1,1,85140.0
2020-09-04,台北市信義區莊敬路２７７號,1,住宅,42,35.05370127468,0,0,0,0,1,0,56000.0
