date,address,floor,type,age,twPing,bedRoom,livingRoom,restRoom,furniture,elevator,parkingSpace,price
2023-02-13,台北市大同區市民大道一段２０７號９樓之１７,9,住宅,14,13.99970050908,0,0,1,1,1,0,20000.0
2023-03-18,台北市中正區林森北路９巷２０號２樓,2,住宅,41,35.888601305040005,3,1,2,1,0,0,43000.0
2023-03-02,台北市大同區萬全街１號８樓之１,8,住宅,8,42.02330152812,3,2,2,1,1,0,91023.0
2023-03-02,台北市大同區民權西路２４２號二樓之３,2,套房,2,14.217500517,1,1,1,1,1,0,26000.0
2023-03-15,台北市中山區中山北路一段１４０巷１８之１號四樓,4,住宅,43,24.69005089782,3,2,1,1,0,0,29000.0
2023-03-03,台北市中山區雙城街３巷２號十樓之２,10,套房,28,12.33897544869,1,1,1,1,1,0,17000.0
2023-03-13,台北市中山區長春路１９５號２樓,2,住宅,13,36.535951328580005,2,2,1,1,1,1,60000.0
2023-03-06,台北市中山區中山北路二段１６８之３號八樓、八樓之１,14,住宅,17,33.57447622089,3,2,2,1,1,0,85000.0
2023-03-02,台北市中山區民權東路三段２１號五樓之７,5,住宅,45,25.68527593401,3,2,2,1,1,0,36000.0
2023-03-13,台北市信義區松信路２２１號六樓,6,住宅,34,41.442501507,3,1,2,1,1,0,35100.0
2023-03-09,台北市松山區敦化南路一段３號１０樓之２,10,住宅,2,71.28110259204,3,2,2,1,1,1,173000.0
2023-03-04,台北市南港區八德路四段８４０號三樓,3,住宅,45,22.26702580971,3,2,1,1,0,0,25000.0
2023-02-09,台北市信義區松勤街４５號６樓,6,住宅,25,52.08142689387,0,0,0,1,1,0,62000.0
2023-03-02,台北市士林區承德路四段１２巷３９號,1,住宅,50,29.65105107822,3,2,1,0,0,0,30000.0
2023-03-04,台北市士林區通河街４２號五樓,5,住宅,39,42.870301558920005,4,2,2,1,1,0,36000.0
2023-03-13,台北市士林區承德路四段４０巷１０５號３樓之７,2,套房,53,12.9470004708,1,1,1,1,1,0,16500.0
2023-03-18,台北市北投區公?路２７６巷３號三樓,3,住宅,29,25.506800927520004,3,1,1,1,1,0,28000.0
2023-03-18,台北市北投區明德路２０１號六樓之６,6,住宅,45,13.491500490600002,2,1,1,1,1,0,21000.0
2023-03-08,台北市北投區溫泉路３７巷２８號十三樓之１,13,套房,18,19.780475719290003,1,1,1,1,1,1,19500.0
2023-02-23,台北市士林區中山北路六段４２３號七樓,7,住宅,42,45.69867666177001,3,2,2,1,1,0,44000.0
2023-03-16,台北市大安區仁愛路四段３００巷１１號四樓之１,4,套房,40,11.29232541063,1,1,1,1,1,0,16200.0
2023-03-13,台北市大安區信義路四段６３號１０樓,10,住宅,37,77.87257783173,4,2,3,1,1,1,155000.0
2023-03-09,台北市大安區新生南路二段１８號６樓之１,6,住宅,18,74.8990027236,3,2,2,1,1,1,110000.0
2023-02-13,台北市大安區大安路一段７５巷７號３樓之４,3,住宅,46,20.73032575383,1,1,1,1,1,0,33000.0
2023-03-10,台北市大安區青田街２巷２１號６樓,6,住宅,16,81.19402795251,3,2,3,1,1,0,91500.0
2023-03-10,台北市大安區和平東路二段３１１巷７１號１７樓,17,住宅,38,29.100501058200003,1,2,1,1,1,0,45000.0
2023-03-20,台北市大安區敦化南路二段６３巷４２號６樓,6,住宅,39,36.8142513387,3,2,2,0,1,0,53500.0
2023-02-26,台北市北投區榮華三路２３號３樓,3,住宅,16,59.1085021494,3,2,2,1,1,1,90000.0
2023-03-08,台北市士林區基河路１６之２號３樓之５,3,住宅,19,10.77202539171,1,1,1,1,1,0,26000.0
2023-03-13,台北市士林區士商路１４９之２號９樓,9,住宅,17,53.38520194128,3,2,2,1,1,1,59100.0
2023-02-08,台北市信義區松德路２００巷７號２樓,2,住宅,31,57.59297709429,4,2,2,1,1,0,74000.0
2023-03-15,台北市南港區忠孝東路六段２７８巷５弄１１號１樓,1,住宅,38,31.34505113982,3,2,2,1,0,0,37000.0
2023-03-09,台北市松山區南京東路五段２００號９樓之４,9,住宅,39,34.557601256640005,3,2,2,1,1,0,41500.0
2023-03-09,台北市信義區信義路五段１２１號２樓之１,2,住宅,14,33.66220122408,2,2,1,1,1,0,80000.0
2023-03-09,台北市信義區虎林街１２０巷１６１號４樓,4,住宅,54,19.5415007106,3,1,1,1,0,0,26500.0
2023-03-07,台北市信義區崇德街８８號６樓,6,住宅,35,23.23502584491,2,1,1,1,1,0,37520.0
2023-03-07,台北市南港區成福路２０１號５樓,5,住宅,45,28.45920103488,3,2,2,1,0,0,26000.0
2023-03-14,台北市中山區新生北路二段７６號二樓之８,2,套房,15,10.14887536905,1,1,1,1,1,0,20000.0
2023-03-21,台北市中山區新生北路二段７３號６樓之７,6,住宅,44,8.01927529161,0,0,0,1,1,0,15000.0
2023-02-01,台北市中山區合江街７３巷３７號１樓,1,住宅,41,47.62257673173001,0,0,0,1,1,0,60000.0
2023-03-01,台北市中山區敬業三路１６２巷３９號３樓,3,住宅,23,47.0387517105,3,2,2,1,1,1,40000.0
2023-03-04,台北市內湖區成功路三段８６號３樓,3,住宅,43,30.797526119910003,0,0,0,0,0,0,23000.0
2023-03-10,台北市中山區樂群二路２８２號１０樓,10,住宅,23,55.73865202686,3,2,2,1,1,1,78000.0
2023-03-13,台北市中山區南京東路１段１３２巷１８號３樓,3,住宅,11,24.296800883520003,2,2,2,1,1,0,40000.0
2023-03-15,台北市內湖區江南街１１７巷８弄２之１號２樓,2,住宅,40,34.261151245860006,3,2,2,1,0,0,29000.0
2023-03-19,台北市大同區承德路二段１巷２５號二樓,2,住宅,53,25.06817591157,4,2,1,1,0,0,33000.0
2023-03-20,台北市大同區延平北路二段１９７號八樓之１,8,套房,44,12.04857543813,1,0,1,1,1,0,19500.0
2023-03-20,台北市大同區延平北路二段１９７號七樓之１,7,套房,44,12.04857543813,1,1,1,1,1,0,19500.0
2023-03-22,台北市萬華區東園街２８巷５０號２樓之５,2,住宅,31,11.62810042284,1,0,0,1,1,0,10000.0
2023-03-10,台北市大同區承德路三段６９號十二樓之１,12,住宅,5,28.54995103818,2,1,1,1,1,0,60000.0
2023-02-08,台北市萬華區漢中街１６０號十一樓之２,11,住宅,1,32.730501190199995,2,1,2,1,1,0,58000.0
2023-03-01,台北市大同區敦煌路８０巷２之１號１２樓,12,住宅,15,46.05562667475,4,2,2,1,1,0,60000.0
2023-03-10,台北市中山區錦州街２３巷１之１號九樓之３,9,住宅,8,19.17547569729,2,1,1,1,1,0,49000.0
2023-03-17,台北市中山區中山北路二段６５巷９號十四樓之２,14,住宅,22,23.86422586779,1,1,1,1,1,0,50000.0
2023-03-01,台北市內湖區康寧路三段９９巷３９弄７２號三樓,3,套房,30,14.849725539990002,1,1,1,1,1,0,22000.0
2023-03-06,台北市內湖區安康路１９９號４樓,4,住宅,29,34.049401238159994,3,2,2,1,0,0,15000.0
2023-03-05,台北市內湖區成功路二段４５０號九樓之３,9,套房,3,12.21797544429,1,1,1,1,1,0,22000.0
2023-03-20,台北市內湖區內湖路一段４１１巷９弄２４號４樓,4,住宅,45,23.28040084656,3,2,1,1,0,0,26000.0
2023-03-16,台北市中山區新生北路三段４３號６樓之１５,6,住宅,45,21.44120077968,2,1,1,1,1,0,24000.0
2023-03-01,台北市中山區民權西路９巷２２號６樓之１,6,套房,11,15.96292558047,1,1,1,1,1,0,30000.0
2023-03-01,台北市中山區民生東路二段１號１２樓之３,12,住宅,10,45.58372665759,3,2,2,1,1,1,85000.0
2023-02-03,台北市中山區松江路４０８號１２樓,12,住宅,8,70.39780255992001,3,2,2,1,1,1,128000.0
2023-03-01,台北市中山區中山北路二段６２巷７號６樓,6,住宅,11,32.87872619559,2,2,1,1,1,0,63700.0
2023-03-02,台北市中山區民權東路一段６１之１號５樓,5,住宅,3,18.22865066286,1,2,1,1,1,0,50000.0
2023-03-04,台北市中山區新生北路二段６２巷１６號１２樓之５,12,住宅,7,37.06230134772,3,2,2,1,1,0,75000.0
