date,address,floor,type,age,twPing,bedRoom,livingRoom,restRoom,furniture,elevator,parkingSpace,price
2020-01-17,台北市中山區新生北路二段40號6樓之6,6,住宅,27,20.01642572787,2,2,1,1,1,0,35000.0
2020-02-01,台北市中山區中山北路二段183號8樓之1,8,住宅,4,27.53657600133,2,2,2,1,1,0,73000.0
2020-01-19,台北市中山區民生東路3段9巷5號14樓之3,14,住宅,39,42.00515152746,4,2,3,1,1,0,59000.0
2020-01-20,台北市大同區市民大道一段203號9樓之15,9,住宅,14,27.975201017280003,2,2,1,1,1,0,55000.0
2020-01-15,台北市大同區民生西路112號7樓之1,7,住宅,10,44.85772663119,3,2,2,1,1,0,76000.0
2019-12-12,台北市信義區信義路五段127號14樓之11,14,住宅,17,26.30842595667,1,2,1,1,1,0,46000.0
2020-01-21,台北市松山區敦化北路２２２巷１９之１號二樓,2,住宅,43,37.933501379400006,3,2,2,1,1,0,40000.0
2019-12-19,台北市松山區民生東路三段113巷39號5樓之2,5,住宅,44,39.26147642769,3,2,2,1,1,0,45000.0
2020-02-11,台北市文山區木新路三段95巷42號17樓之3,17,住宅,16,56.22870204468,3,2,2,0,1,1,47000.0
2020-01-17,台北市中山區中山北路二段183號7樓之1,7,住宅,4,36.542001328800005,2,1,1,1,1,1,69000.0
2020-01-22,台北市中正區辛亥路一段６號十三樓之３,13,住宅,5,41.98700152680001,1,2,2,1,1,0,45000.0
2020-01-22,台北市文山區興隆路二段６０號二樓,2,住宅,48,24.72635089914,2,2,1,1,0,0,23000.0
2020-01-15,台北市士林區天母北路10之1號,1,住宅,40,69.22410251724,6,2,3,1,1,0,47000.0
2020-02-07,台北市北投區中和街495號五樓,5,住宅,41,27.823951011780004,2,1,1,1,0,0,15500.0
2020-01-21,台北市松山區民生東路三段１１３巷７弄８號二樓之１,2,住宅,42,39.530701437480005,3,2,2,1,1,0,35000.0
2020-01-22,台北市南港區松河街７５８號五樓,5,住宅,8,27.33087599385,2,2,1,1,1,0,37000.0
2019-12-31,台北市中山區農安街6號八樓之10、八樓之11,8,住宅,14,36.53292632847,2,1,1,1,1,0,48000.0
2019-12-31,台北市中山區八德路二段319號五樓,5,住宅,5,63.4645023078,3,2,2,1,1,1,86687.0
2019-12-30,台北市中山區民生東路二段1號12樓之3,12,住宅,10,45.58372665759,3,2,2,1,1,1,86000.0
2019-12-23,台北市中山區長安東路166號12樓,12,住宅,7,28.30492602927,1,1,1,1,1,0,53000.0
2020-02-12,台北市中山區台北市中山區長安東路二段208號14樓之2,14,住宅,16,82.93945301598,5,3,5,1,1,1,134000.0
2020-01-21,台北市中山區林森北路363號10樓之2,10,住宅,14,43.587226584990006,2,2,2,1,1,0,72000.0
2020-02-07,台北市中山區撫順街11號4樓,4,住宅,35,34.89942626907,3,2,2,1,1,0,57500.0
2020-02-05,台北市中山區雙城街13巷9號12樓,12,住宅,11,63.201327298230005,1,1,1,1,1,0,70000.0
2020-02-06,台北市中山區長安東路二段169之15號8樓之1,8,住宅,11,41.77827651921,3,2,2,1,1,0,75000.0
2020-02-05,台北市中山區復興北路496號5樓,5,住宅,40,44.50985161854,3,1,2,1,1,0,45408.0
2020-02-04,台北市內湖區康寧路三段56巷198號7樓,7,住宅,13,51.854551885620005,3,2,2,1,1,0,47000.0
2020-02-13,台北市中山區林森北路585號二樓之5,2,住宅,12,36.526876328250005,1,1,1,1,1,0,76000.0
2020-02-13,台北市中山區林森北路363號九樓之6,9,住宅,14,20.152550732820004,1,1,1,1,1,0,46373.0
2020-02-13,台北市中山區林森北路351號三樓,3,住宅,10,78.15390284196,4,2,2,1,1,0,112000.0
2020-01-15,台北市內湖區文德路220巷35號2樓之3,2,套房,16,14.38085052294,1,1,1,1,1,0,17000.0
2020-01-19,台北市中山區北安路621巷17號4樓,4,住宅,47,26.922500979,3,2,2,1,0,0,26000.0
2020-01-28,台北市中山區民權東路二段135巷29弄13號2樓,2,住宅,39,47.81012673855,4,2,2,1,0,0,45000.0
2020-02-07,台北市中正區仁愛路二段91巷7號7樓,7,住宅,14,71.79535261074001,3,2,2,1,1,1,100000.0
2020-02-11,台北市大同區延平北路一段139號9樓,9,住宅,4,30.58880111232,2,1,2,0,1,0,37000.0
2020-02-11,台北市大同區延平北路一段139號9樓之1,9,住宅,4,30.153201096480004,2,1,2,0,1,0,41000.0
2020-02-12,台北市大同區酒泉街50巷22號4樓,4,住宅,49,24.311925884070003,3,2,1,1,0,0,17000.0
2020-01-20,台北市大同區民權西路122號6樓,6,套房,15,13.86357550413,1,1,1,1,1,0,20000.0
2020-01-15,台北市南港區興華路64巷3號二樓,2,住宅,15,56.13190204116,4,2,2,1,1,1,55000.0
2020-02-08,台北市北投區東華街一段492號12樓,12,住宅,17,49.69470180708,2,2,2,1,1,1,40000.0
2020-02-13,台北市北投區東華街二段36號十四樓之2,14,住宅,15,56.61590205876,3,2,2,1,1,0,77200.0
2020-02-07,台北市北投區致遠二路61巷7號三樓,3,住宅,15,43.538826583230005,3,1,2,1,1,0,48840.0
2020-01-19,台北市北投區知行路293巷16號3樓之8,3,住宅,14,21.06307576593,2,1,1,1,1,0,22000.0
2020-01-18,台北市士林區天母西路50巷20之1號4樓,4,住宅,27,63.72767731737001,3,2,2,1,1,1,60000.0
2020-02-02,台北市大安區基隆路二段188號14樓之11,14,套房,14,10.53002538291,1,1,1,1,1,0,25000.0
2020-02-11,台北市文山區育英街57巷16號2樓,2,住宅,54,27.50935100034,3,2,1,1,0,0,18000.0
2020-01-21,台北市士林區天母東路30號五樓,5,住宅,38,55.206252007500005,4,1,2,1,1,0,70000.0
2020-01-31,台北市北投區東華街二段22號5樓,5,住宅,10,58.85742714027,3,1,2,1,1,0,55000.0
2020-02-13,台北市信義區信義路五段115號19樓,19,套房,14,21.41397577869,1,0,1,1,1,0,29000.0
2020-02-10,台北市南港區忠孝東路六段108號13樓,13,住宅,8,48.05212674735001,3,2,2,1,1,1,75000.0
2020-01-17,台北市松山區三民路18號4樓之1,4,套房,9,16.63447560489,1,1,1,1,1,0,36500.0
2020-02-05,台北市大同區市民大道一段201號十二樓之10,12,住宅,14,27.960076016730003,2,1,1,1,1,0,49000.0
2020-02-10,台北市內湖區民權東路六段66號6樓,6,住宅,40,31.133301132120003,3,2,2,1,1,0,30000.0
2020-01-22,台北市中山區新生北路二段68巷8號四樓之16,4,住宅,7,24.90180090552,1,1,1,1,1,0,58000.0
2019-12-27,台北市內湖區文德路210巷8號3樓之3,3,住宅,27,9.1355003322,1,1,1,1,1,0,15790.0
2020-01-23,台北市中山區新生北路二段68巷9號4樓之1,4,住宅,15,22.965800835120003,2,1,1,1,1,0,45000.0
2020-01-20,台北市內湖區內湖路三段３８號十二樓,12,住宅,4,60.176327188230005,4,2,2,1,1,1,57000.0
2020-01-22,台北市中山區農安街１０之１號八樓之１,8,套房,16,17.52685063734,1,1,1,1,1,0,26000.0
2020-02-17,台北市內湖區民權東路六段206巷143弄27號3樓,3,住宅,9,35.42577628821,2,1,1,1,1,1,35000.0
2020-01-31,台北市南港區興華路６４巷５號十樓,10,住宅,15,57.66255209682,3,2,2,1,1,1,48000.0
2020-01-19,台北市北投區崇仁路一段１７６號四樓之３,4,套房,25,12.20890044396,1,1,1,1,1,0,14000.0
2020-02-08,台北市北投區石牌路二段315巷28弄16號7樓之1,7,套房,15,13.23740048136,1,1,1,1,1,0,21000.0
2020-02-09,台北市北投區立農街二段216號2樓,2,住宅,27,37.24985135454,3,2,2,1,1,0,35000.0
2020-02-17,台北市士林區重慶北路四段208號4樓,4,住宅,10,59.88290217756,3,2,2,1,1,0,60000.0
2020-01-22,台北市士林區大南路１２４號三樓,3,住宅,51,20.010375727650004,3,1,1,1,0,0,14000.0
2020-01-20,台北市文山區政大二街98號2樓,2,住宅,14,55.95040203456,3,1,2,1,1,1,33000.0
2020-01-08,台北市文山區車前路11之1號十七樓,17,住宅,8,61.62227724081,3,2,2,1,1,1,42000.0
2020-02-13,台北市文山區辛亥路四段21巷12號六樓之1,6,住宅,28,14.47765052646,1,1,1,1,1,0,17000.0
2020-02-17,台北市士林區社中街366號2樓,2,住宅,35,36.72955133562,3,2,2,1,0,0,24000.0
