date,address,floor,type,age,twPing,bedRoom,livingRoom,restRoom,furniture,elevator,parkingSpace,price
2021-10-29,台北市中山區吉林路２４號６樓之２,6,住宅,46,28.444076034330003,2,1,0,1,1,0,37000.0
2021-10-29,台北市內湖區環山路二段２６巷４號四樓,4,住宅,42,28.13552602311,3,1,1,1,0,0,27000.0
2021-11-03,台北市中山區新生北路二段６６號七樓之２４,7,住宅,43,7.18740026136,1,0,1,1,1,0,7500.0
2021-10-26,台北市大同區民生西路１１２號２樓,2,住宅,10,24.75357590013,2,1,1,1,1,0,50000.0
2021-11-04,台北市萬華區萬大路１８７巷６０號五樓,5,住宅,48,13.87870050468,1,0,1,1,0,0,12000.0
2021-09-28,台北市萬華區西寧南路３６號１０樓之１,10,住宅,45,355.06543791147,33,0,33,1,1,0,230000.0
2021-11-05,台北市萬華區昆明街７９號八樓之１３,8,住宅,37,14.35362552195,1,0,1,1,1,0,15000.0
2021-11-10,台北市大同區市民大道一段２１１號十二樓之２３,12,住宅,14,13.53385049214,1,1,1,1,1,0,22000.0
2021-10-30,台北市松山區八德路二段３６６巷３６號３樓之１,3,住宅,32,15.860075576730004,2,2,1,1,1,0,25000.0
2021-08-18,台北市中正區金門街４４巷１０號１樓,1,住宅,41,38.10592638567,3,2,2,0,1,0,30000.0
2021-10-29,台北市中正區汀州路二段８５號三樓之５,3,住宅,6,41.03715149226,2,2,1,1,1,1,40000.0
2021-10-05,台北市文山區景興路２２７號４樓,4,住宅,28,21.61967578617,3,2,1,1,1,0,25000.0
2021-10-31,台北市大安區和平東路三段４１２號十二樓,12,住宅,17,21.21432577143,2,2,1,1,1,0,30000.0
2021-10-18,台北市中正區和平西路一段５５巷２０號６樓,6,住宅,13,36.8142513387,2,2,2,1,1,0,51700.0
2021-11-01,台北市中正區中華路二段３０７巷３４號五樓,5,套房,56,7.75307528193,1,1,1,1,1,0,10000.0
2021-10-29,台北市北投區公?路４３２巷１１號五樓,5,住宅,30,35.34712628535,3,1,2,1,1,0,28500.0
2021-10-24,台北市士林區中山北路六段１９５巷８號１２樓,12,住宅,15,60.206577189330005,3,2,2,1,1,0,80000.0
2021-11-03,台北市南港區經貿二路１５７巷３６弄１１５號十樓,10,住宅,13,112.31522908419,4,2,2,1,1,1,115000.0
2021-11-11,台北市松山區敦化北路１９９巷１０之２號２樓,2,住宅,29,52.70457691653001,3,2,2,1,1,0,58000.0
2021-11-12,台北市信義區信義路五段１２８號１５樓之２,15,住宅,19,31.40555114202,1,1,1,1,1,0,111500.0
2021-11-12,台北市信義區信義路五段８巷１５號９樓,9,住宅,25,15.908475578490002,0,0,0,1,1,0,25000.0
2021-10-30,台北市萬華區貴陽街二段３３號１２樓之８,12,住宅,6,25.36160092224,2,2,1,0,1,0,35536.0
2021-11-02,台北市中正區中華路一段７號１２樓之１０,12,住宅,8,17.33930063052,1,1,1,1,1,0,34000.0
2021-11-04,台北市內湖區康樂街１３３號四樓,4,住宅,35,38.13012638655,4,2,2,1,0,0,28000.0
2021-10-22,台北市中山區林森北路３６３號１０樓之６,10,住宅,14,20.152550732820004,1,2,1,1,1,0,57000.0
2021-11-03,台北市內湖區內湖路一段６０９號四樓,4,住宅,42,29.775076082730003,3,2,1,1,0,0,28500.0
2021-10-31,台北市內湖區康寧路三段２１９巷１號四樓,4,住宅,38,36.46940132616,2,2,2,1,0,0,28000.0
2021-11-07,台北市中山區敬業三路１６２巷９９號九樓,9,住宅,23,43.20607657113,2,2,1,1,1,1,38000.0
2021-10-25,台北市中山區四平街５６號６樓之３,6,住宅,15,19.02422569179,2,1,1,1,1,0,42000.0
2021-11-03,台北市中山區中山北路二段３９巷６號３樓之１,3,住宅,22,35.80087630185,0,0,0,0,1,0,46000.0
2021-11-05,台北市中山區雙城街２８巷２３之１號,2,住宅,54,23.18057584293,3,2,1,1,0,0,30000.0
2021-11-09,台北市內湖區新明路４７５巷１８號二樓,2,住宅,42,32.66395118778,3,1,2,1,0,0,22000.0
2021-11-09,台北市中山區錦州街２１號十一樓之５,11,住宅,41,10.40297537829,1,0,1,1,1,0,12000.0
2021-11-03,台北市中山區民生東路一段７０巷７號４樓之８,4,住宅,16,9.77982535563,1,1,1,1,1,0,20700.0
2021-11-01,台北市中山區民生東路一段２５號６樓之８,6,住宅,43,11.38005041382,0,0,0,1,1,0,23000.0
2021-11-01,台北市中山區新生北路二段７４號１１樓之３,11,住宅,51,10.21240037136,0,0,0,1,1,0,14000.0
2021-11-05,台北市中山區民生東路二段１１９號７樓之６,7,住宅,47,21.789075792330003,2,2,1,1,1,0,30000.0
2021-11-08,台北市中山區中山北路二段９３巷８號６樓之４,6,住宅,18,12.8562504675,1,1,2,1,1,0,28000.0
2021-10-31,台北市中山區北安路８２９號１３樓,13,住宅,13,14.187250515900002,0,0,0,1,1,0,24000.0
2021-11-03,台北市大同區雙連街７７號９樓,9,住宅,6,27.279450991980003,1,1,1,1,1,0,45000.0
2021-11-11,台北市萬華區長泰街１５８號二樓,2,住宅,48,20.48227574481,2,1,1,0,0,0,13000.0
2021-11-03,台北市大同區市民大道一段２０５號七樓之３,7,住宅,14,27.95402601651,2,1,1,1,1,0,50000.0
2021-11-13,台北市中山區新生北路三段４３號１０樓之４,10,住宅,45,15.648325569030002,0,0,0,1,1,0,20000.0
2021-11-05,台北市中山區建國北路二段９之２號五樓,5,住宅,17,18.15000066,1,1,1,1,1,0,35000.0
2021-11-02,台北市中山區建國北路二段６巷１７號三樓,3,住宅,55,34.218801244320005,3,2,2,0,0,0,31000.0
2021-11-08,台北市北投區致遠二路５巷１４號,1,住宅,46,43.03667656497001,4,2,2,1,0,0,58000.0
2021-11-01,台北市士林區後港街１５０號二樓,2,住宅,26,63.45845230758001,4,2,2,1,1,1,55000.0
2021-11-06,台北市北投區立農街二段２１６號二樓,2,住宅,27,37.24985135454,3,2,2,1,1,0,35000.0
2021-10-12,台北市士林區中山北路六段４４１巷４７號１５樓,15,住宅,15,119.01560432784,4,2,4,0,1,0,262000.0
2021-11-11,台北市士林區通河東街一段１１４號,1,住宅,37,64.49602734531,3,3,2,1,0,0,50000.0
2021-10-25,台北市大安區仁愛路四段４０８巷１９號８樓,8,住宅,15,22.57557582093,2,2,1,1,1,0,50000.0
2021-11-03,台北市信義區忠孝東路五段４６９號七樓之６,7,住宅,2,12.79272546519,0,1,1,1,1,0,30000.0
2021-11-15,台北市大同區民權西路１０６號三樓,3,住宅,41,57.29350208340001,0,0,0,0,1,0,68000.0
2021-10-29,台北市大同區承德路三段７號１３樓,13,住宅,13,65.83005239382,4,2,2,1,1,0,78000.0
2021-10-22,台北市中山區新生北路二段６２巷１１號１４樓,14,住宅,12,73.95520268928,4,2,2,1,1,1,110000.0
2021-10-29,台北市中山區松江路１００巷１４號４樓４０３室,4,套房,41,13.83937550325,1,0,1,1,1,0,40000.0
2021-11-12,台北市內湖區康樂街２０巷２號三樓,3,住宅,38,27.28852599231,3,2,2,1,0,0,22000.0
2021-11-01,台北市中山區林森北路３６３號１３樓之３,13,住宅,14,20.152550732820004,1,1,1,1,1,0,45000.0
2021-10-01,台北市中山區中山北路二段５９巷２１號９樓之３,9,住宅,24,18.26797566429,1,1,1,1,1,0,30000.0
2021-10-01,台北市中山區龍江路１５３號３樓,3,住宅,36,57.65045209638001,0,0,0,0,1,0,56000.0
2021-11-11,台北市中山區長安東路二段３６巷１２號三樓,3,住宅,54,19.28740070136,2,1,1,1,0,0,24000.0
2021-11-15,台北市中山區中山北路二段５２-１號１樓,1,住宅,37,21.48960078144,0,0,0,0,1,0,90000.0
2021-11-16,台北市中山區中山北路一段８３巷２０號七樓之４,7,住宅,27,30.41032610583,3,2,2,1,1,0,30000.0
2021-11-16,台北市萬華區大理街１６０巷２４弄１２號二樓,2,住宅,41,30.50712610935,3,2,1,1,0,0,28000.0
2021-11-16,台北市萬華區成都路１１０號五樓之７,5,住宅,46,8.92072532439,1,0,1,1,1,0,11000.0
2021-11-10,台北市文山區辛亥路五段９２之３號三樓,3,住宅,40,32.14365116886,3,2,2,1,1,0,30000.0
2021-11-15,台北市文山區萬安街５１號地下之１,-1,住宅,27,19.26017570037,1,1,1,1,1,0,16000.0
2021-11-10,台北市大安區市民大道四段２１８號６樓之１,6,住宅,41,37.44647636169,3,2,2,1,1,0,35000.0
2021-10-21,台北市北投區中央北路三段２１４號二樓,2,住宅,42,41.93557652493,4,2,3,1,0,0,22000.0
2021-11-15,台北市士林區天玉街３８巷１６弄１０號五樓,5,住宅,44,25.87887594105,3,2,2,1,0,0,17000.0
2021-11-09,台北市士林區士東路５號五樓,5,住宅,42,44.207351607540005,3,2,2,1,1,0,46000.0
2021-11-08,台北市大安區羅斯福路３段２９３號９樓之１,9,套房,42,12.76247546409,1,1,1,1,1,0,15000.0
2021-11-04,台北市信義區富陽街１４號二樓,2,住宅,43,29.35762606755,3,1,1,1,0,0,18000.0
2021-11-08,台北市中山區新生北路二段７３號二樓之１１,2,住宅,44,5.142500187,1,0,0,1,1,0,9500.0
2021-11-16,台北市中山區新生北路二段５８巷１５號二樓,2,住宅,42,30.734001117600005,3,2,2,1,0,0,35100.0
2021-11-10,台北市信義區虎林街２４２巷６３號,1,住宅,53,18.70055068002,2,1,1,1,0,0,24500.0
