date,address,floor,type,age,twPing,bedRoom,livingRoom,restRoom,furniture,elevator,parkingSpace,price
2022-02-10,台北市中山區新生北路二段４０號６樓,6,套房,27,10.6177503861,1,0,1,1,1,0,23000.0
2021-12-26,台北市萬華區康定路１０５號２５樓之１,25,住宅,7,15.64530056892,0,0,0,1,1,0,24000.0
2022-02-10,台北市松山區寶清街２１號１０樓之１,10,住宅,33,22.14602580531,2,1,2,1,1,0,29000.0
2022-01-15,台北市松山區南京東路五段２３９號五樓之１０,5,住宅,14,23.2320008448,1,1,1,1,1,0,48500.0
2022-02-05,台北市北投區中和街２０巷２號八樓之５,8,套房,17,13.63972549599,1,1,1,1,1,0,20000.0
2022-01-15,台北市士林區天母東路３０號五樓,5,住宅,38,55.206252007500005,4,2,2,1,1,0,70000.0
2022-01-23,台北市文山區辛亥路四段２０９巷６號十七樓,17,住宅,3,76.64140278696,4,2,2,1,1,1,65000.0
2022-02-10,台北市中山區中山北路一段５３巷２６號５樓之５,5,住宅,15,16.29567559257,0,0,0,1,1,0,28000.0
2022-02-08,台北市中山區林森北路５３６號１２樓之６,12,住宅,18,13.615525495110004,2,2,1,1,1,0,25000.0
2022-02-08,台北市中山區中山北路二段９３巷１７號７樓之４,7,住宅,20,9.99762536355,0,0,0,1,1,0,18000.0
2022-01-22,台北市中山區復興北路６０號３樓之２,3,住宅,43,59.202277152810005,0,0,0,0,1,0,80808.0
2022-01-28,台北市大同區市民大道一段２１１號１４樓之１４,14,住宅,14,14.52302552811,0,0,0,1,1,0,22800.0
2021-12-23,台北市萬華區長沙街二段１０７-１號,1,住宅,37,95.1362534595,1,1,1,0,1,0,210000.0
2022-01-30,台北市中山區北安路８２９號５樓之８,5,套房,13,13.24345048158,1,1,1,1,1,0,25000.0
2022-01-26,台北市中山區長春路１９５號２樓,2,住宅,13,31.02440112816,2,2,1,1,1,0,49500.0
2022-01-17,台北市中山區吉林路２０號２樓,2,住宅,51,74.21837769885,0,0,0,0,1,0,135000.0
2022-02-11,台北市內湖區陽光街１６１巷１２之３６號４樓,4,住宅,4,14.102550512820002,1,0,1,1,1,0,25000.0
2022-02-08,台北市大安區潮州街８４號三樓之１,3,套房,14,5.07897518469,1,1,1,1,1,0,13500.0
2022-01-27,台北市大安區羅斯福路二段４１號１２樓之３,12,住宅,42,49.531351801140005,4,1,1,0,1,0,52500.0
2022-01-02,台北市士林區天母北路２８巷３９號８樓之８,8,住宅,15,9.32002533891,0,0,0,1,1,0,21500.0
2022-01-25,台北市北投區石牌路二段３１５巷８號,1,住宅,28,33.47767621737,3,2,2,1,1,1,48000.0
2022-01-29,台北市中山區林森北路５８５號１１樓,11,住宅,12,55.79310202884,2,2,1,1,1,0,115000.0
2022-01-27,台北市內湖區成功路二段５０２號７樓,7,住宅,11,31.154476132890004,2,2,1,1,1,1,36715.0
2022-02-07,台北市內湖區內湖路一段２８５巷６９弄３３號三樓,3,住宅,40,30.23790109956,3,2,2,1,0,0,28000.0
2022-01-21,台北市內湖區江南街６５巷２５之１號５樓,5,住宅,7,35.41367628777,2,1,1,1,1,1,34000.0
2022-01-27,台北市中山區林森北路５８７號６樓之９,6,住宅,12,26.91947597889,2,1,1,1,1,0,52000.0
2022-02-09,台北市松山區光復北路６０巷９號二樓,2,住宅,49,29.29107606513,2,1,1,1,0,0,32000.0
2021-12-30,台北市信義區基隆路一段１０１巷２號十一樓之１,11,住宅,21,14.42017552437,1,1,1,1,1,0,28000.0
2022-02-11,台北市南港區經貿二路１５７巷３６弄８８號六樓之６,6,住宅,15,15.270200555280002,1,1,1,1,1,0,22500.0
2022-02-11,台北市中正區信義路一段９之１號,1,住宅,27,36.91105134222,0,1,1,1,1,0,63430.0
2022-01-20,台北市萬華區成都路１３９號４樓之１０,4,住宅,8,42.262276536810006,3,2,2,1,1,0,44800.0
2021-12-30,台北市中正區開封街一段４８號八樓之１４,8,住宅,16,12.04252543791,1,0,1,0,1,0,17000.0
2022-01-26,台北市中正區臨沂街３２巷２號２樓,2,套房,8,14.169100515240002,1,1,1,1,1,0,30000.0
2022-02-10,台北市大同區太原路８０號７樓之３,7,住宅,15,29.18217606117,2,2,1,1,1,0,37500.0
2022-01-28,台北市萬華區漢口街二段１０９巷８號２樓,2,住宅,51,16.28055059202,2,1,1,1,0,0,18000.0
2022-02-15,台北市中正區臨沂街３２巷２號四樓之３,4,套房,8,14.18120051568,1,1,1,1,1,0,24000.0
2022-01-20,台北市萬華區興義街５６號２樓,2,住宅,54,30.06547609329,3,2,2,1,0,0,26000.0
2022-02-07,台北市萬華區西園路二段３７２巷３弄３９號,1,住宅,55,23.186625843150004,0,1,1,0,0,0,26500.0
2022-01-17,台北市信義區忠孝東路五段４８２號５樓-２,5,住宅,30,27.355075994730004,0,0,0,0,1,0,35000.0
2022-02-07,台北市信義區光復南路４７３巷１１弄３４號四樓,4,住宅,55,34.89337626885,3,2,1,1,0,0,28000.0
2022-02-01,台北市中山區中山北路二段１８３號８樓之１,8,住宅,4,27.53657600133,2,2,2,1,1,0,73000.0
2022-02-07,台北市中山區松江路６９巷１１號３樓之２,3,住宅,10,27.13122598659,1,2,1,1,1,0,50000.0
2022-02-09,台北市中山區新生北路三段４２號十樓之２,10,套房,22,12.33595044858,1,0,1,1,1,0,17000.0
2021-12-29,台北市中正區廈門街２７號四樓,4,住宅,53,18.98187569025,2,2,1,1,0,0,25000.0
2022-02-16,台北市文山區木新路二段１１１巷６弄２３號５樓,5,住宅,39,28.77682604643,3,2,2,1,0,0,23000.0
2021-12-31,台北市大安區基隆路二段１１０號７樓,7,住宅,33,111.77072906439,0,0,0,1,1,1,110000.0
2022-01-25,台北市士林區天玉街１３號,1,住宅,16,62.97747729009,3,2,2,1,1,0,112523.0
2022-02-15,台北市北投區裕民二路６３號十二樓,12,住宅,10,34.12502624091,2,1,1,1,1,0,66200.0
2022-02-15,台北市北投區振華街４６號三樓,3,住宅,43,35.846251303500004,4,2,1,1,0,0,20000.0
2022-02-09,台北市北投區建民路１１４號４樓,4,住宅,47,32.84242619427,2,2,1,1,0,0,28000.0
2022-01-27,台北市北投區新民路１巷８號地下一樓之１,-1,住宅,43,13.769800500720002,3,2,2,1,1,0,22500.0
2022-02-01,台北市士林區中山北路六段４３號６樓,6,住宅,11,65.16757736973001,4,2,2,1,1,0,100000.0
2022-02-12,台北市北投區致遠一路２段７０巷３之１號５樓,5,住宅,39,20.445975743490003,3,1,1,1,0,0,17000.0
2022-02-14,台北市北投區自強街５巷７９號二樓,2,住宅,53,23.49215085426,2,1,1,1,0,0,17000.0
2022-02-15,台北市大安區信義路四段２６５巷１２弄１號５樓,5,住宅,39,51.57020187528,2,1,1,0,1,0,59800.0
2022-01-24,台北市中正區重慶南路三段２７巷２１號６樓,6,住宅,7,42.31067653857,2,2,2,1,1,0,63500.0
2022-01-29,台北市中正區大埔街２５巷２５號五樓,5,住宅,30,45.5867516577,3,2,2,1,1,0,30000.0
2022-02-13,台北市文山區萬盛街１５６巷１號３樓,3,住宅,47,28.77682604643,3,2,1,1,0,0,28000.0
