date,address,floor,type,age,twPing,bedRoom,livingRoom,restRoom,furniture,elevator,parkingSpace,price
2018-10-28,台北市中山區中山北路二段５９巷１１號八樓之３,8,住宅,38,23.10495084018,2,2,1,0,1,0,23000.0
2018-10-23,台北市中山區農安街４５號四樓之１,4,住宅,47,11.02612540095,1,0,1,1,1,0,16000.0
2018-10-21,台北市內湖區民權東路六段１９０巷２１弄３７號四樓,4,套房,8,11.39820041448,1,0,1,1,1,1,24000.0
2018-10-30,台北市中山區復興北路92號7樓之1,7,住宅,45,32.60042618547,2,1,1,1,1,0,30000.0
2018-10-25,台北市內湖區內湖路三段191巷9號5樓,5,住宅,42,29.86885108614,3,2,2,1,0,0,18000.0
2018-10-08,台北市松山區南京東路五段239號6樓-6,6,住宅,14,16.77060060984,1,1,1,1,1,0,30000.0
2018-10-09,台北市信義區松勇路33號13樓,13,住宅,20,189.57070689348004,6,2,4,0,1,1,400000.0
2018-10-20,台北市南港區南港路三段139號5樓,5,住宅,37,17.29997562909,0,0,0,0,1,0,14000.0
2018-10-20,台北市士林區天母北路８號五樓,5,住宅,38,49.864101813240005,4,2,2,0,1,0,35000.0
2018-10-23,台北市北投區行義路１２４巷７之１號三樓,3,住宅,29,74.07317769357,6,2,4,0,0,0,35000.0
2018-11-05,台北市士林區忠誠路1段18號5樓之1,5,住宅,18,47.01455170962,3,2,2,1,1,0,79000.0
2018-11-02,台北市士林區福國路100號14樓之1,14,住宅,44,36.95945134398,3,2,2,1,1,0,35000.0
2018-11-09,台北市北投區大業路424號3樓,3,住宅,49,26.296325956230003,3,2,1,1,0,0,18000.0
2018-10-23,台北市文山區政大二街２１５巷１２號三樓,3,住宅,20,41.75407651833,4,1,2,1,1,0,24000.0
2018-10-29,台北市大安區仁愛路4段230號8樓之2,8,住宅,45,23.73112586295,1,0,1,0,1,0,28500.0
2018-09-12,台北市北投區公館路161巷33號2樓,2,住宅,8,76.06362776595,2,2,2,1,1,1,98763.0
2018-10-25,台北市北投區大度路三段２９９號九樓之２,9,住宅,15,14.160025514910002,1,1,1,1,1,0,19000.0
2018-10-18,台北市萬華區康定路103號12樓之16,12,套房,7,19.272275700810003,1,1,1,1,1,0,30000.0
2018-10-16,台北市大同區南京西路68號12樓之1,12,住宅,17,25.319250920700004,2,1,1,1,1,0,55000.0
2018-09-24,台北市松山區南京東路五段239號17樓之5,17,套房,14,15.51220056408,1,1,1,1,1,0,24000.0
2018-10-28,台北市中山區龍江路46巷3號2樓,2,住宅,27,86.76607815513,4,2,2,1,1,1,125000.0
2018-10-14,台北市中山區南京東路一段132巷18號5樓,5,住宅,11,24.296800883520003,2,2,2,1,1,0,35000.0
2018-10-15,台北市中山區堤頂大道二段378號5樓之1,5,住宅,19,75.73692775407001,4,2,2,1,1,1,66000.0
2018-10-15,台北市內湖區成功路二段500號11樓,11,住宅,11,57.99227710880999,3,2,2,1,1,0,62000.0
2018-11-09,台北市中山區敬業三路162巷27號二樓,2,住宅,23,47.02665171006,3,2,2,0,1,1,36000.0
2018-10-21,台北市中山區龍江路２８１巷１１號四樓,4,住宅,40,45.27820164648001,5,2,2,1,1,0,35000.0
2018-10-27,台北市內湖區新明路４９８巷８弄６號五樓,5,住宅,41,20.691000752400004,2,2,1,1,0,0,18000.0
2018-11-11,台北市內湖區星雲街150巷14號6樓,6,住宅,28,37.894176377970005,3,2,2,0,1,0,34000.0
2018-11-13,台北市萬華區武成街35巷16弄11號2樓,2,住宅,51,18.9062506875,3,2,1,1,0,0,18000.0
2018-11-12,台北市北投區明德路118巷9號3樓,3,住宅,48,14.37480052272,2,2,1,1,0,0,17000.0
2018-11-05,台北市士林區德行東路331巷16號9樓,9,住宅,18,106.92770388828,4,2,2,1,1,1,120000.0
2018-11-14,台北市大安區延吉街120號3樓,3,住宅,36,46.99942670907,0,0,0,0,1,0,60000.0
2018-10-24,台北市大安區潮州街107巷4之1號,2,住宅,54,26.05432594743,3,2,2,0,0,0,27000.0
2018-10-26,台北市大安區羅斯福路三段227號4樓之1,4,住宅,36,35.64660129624,3,1,1,0,1,0,42000.0
2018-10-26,台北市中正區羅斯福路一段58巷27號2樓,2,住宅,31,40.90707648753,4,2,2,0,1,0,36000.0
2018-11-07,台北市大安區信義路四段265巷17之1號十樓之7,10,住宅,14,7.73795028138,1,1,1,1,1,0,22400.0
2018-10-28,台北市大安區復興南路二段２９３之３號七樓之６,7,住宅,39,18.00177565461,2,1,1,1,1,0,25000.0
2018-11-08,台北市士林區中山北路七段114巷47號一樓,1,住宅,10,100.00045363638,4,2,3,1,1,1,173500.0
2018-10-29,台北市松山區塔悠路３０１號三樓,3,住宅,26,19.52940071016,1,2,1,1,1,0,25000.0
2018-10-31,台北市中山區長安東路一段52巷12號二樓,2,住宅,50,26.34170095788,1,2,1,1,0,0,35000.0
2018-11-12,台北市中山區新生北路二段108號14樓之6,14,住宅,44,9.49547534529,1,0,1,1,1,0,9500.0
2018-10-15,台北市中山區林森北路653號6樓之2,6,住宅,16,38.871251413500005,3,2,2,1,1,0,48000.0
2018-10-29,台北市中山區復興北路４６０號四樓之２,4,住宅,21,14.63192553207,0,1,1,1,1,0,25000.0
2018-10-17,台北市內湖區內湖路二段263巷13號4樓,4,住宅,46,31.08792613047,3,2,1,1,0,0,25000.0
2018-10-30,台北市中山區北安路８２９號三樓之２,3,套房,13,13.60947549489,1,0,1,1,1,0,24000.0
2018-11-10,台北市中山區新生北路二段62巷12號3樓之3,3,住宅,7,46.1010016764,4,2,2,1,1,0,60000.0
2018-10-24,台北市中山區民權西路9巷22號3樓之2,3,住宅,11,19.57780071192,1,1,1,1,1,0,32000.0
2018-11-02,台北市中山區德惠街4號8樓,8,住宅,45,16.08090058476,1,1,1,1,1,0,27000.0
2018-10-24,台北市中山區敬業三路161巷59號4樓,4,住宅,20,69.60827753120999,4,2,2,1,1,1,90000.0
2018-10-24,台北市內湖區民權東路六段150之5號9樓之2,9,住宅,14,49.38917679597,3,2,2,1,1,1,56000.0
2018-10-26,台北市中山區建國北路一段41號3樓,3,住宅,16,21.8707507953,2,2,1,1,1,0,50000.0
2018-11-07,台北市中山區中山北路三段30號10樓之4,10,住宅,41,14.29917551997,0,0,0,0,1,0,26000.0
2018-10-18,台北市信義區永吉路53號11樓之1,11,住宅,16,26.09062594875,3,2,2,1,1,0,42000.0
2018-10-26,台北市信義區光復南路567號11樓之7,11,住宅,15,13.004475472889998,1,1,1,1,1,0,31000.0
2018-11-07,台北市信義區忠孝東路5段743巷21弄29號4樓,4,住宅,8,32.0347511649,2,1,1,1,1,0,33000.0
2018-10-25,台北市松山區南京東路四段112號4樓,4,住宅,13,41.63005151382,3,2,2,1,1,0,58000.0
2018-10-26,台北市信義區信義路五段127號8樓之14,8,住宅,17,27.65152600551,2,1,1,1,1,0,42000.0
2018-10-23,台北市信義區基隆路二段151之1號9樓之1,9,住宅,42,25.80930093852,2,2,1,1,1,0,32000.0
2018-11-14,台北市信義區松德路25巷4號5樓,5,住宅,38,31.75947615489,3,2,1,1,1,0,46500.0
2018-10-30,台北市信義區吳興街１５６巷２５弄２３號六樓,6,住宅,29,35.64357629613,4,2,2,1,1,0,30000.0
2018-10-05,台北市北投區三合街一段82巷80號8樓,8,住宅,8,74.19115269786,3,2,2,0,1,1,53500.0
2018-11-06,台北市中正區信義路二段259號9樓之3,9,住宅,5,18.05320065648,0,1,1,1,1,1,53000.0
2018-11-13,台北市中正區信義路二段259號5樓之5,5,住宅,5,13.47637549005,0,1,1,1,1,0,34000.0
2018-11-02,台北市萬華區開封街二段47號2樓之1,2,住宅,39,72.10692762207,7,2,3,1,1,0,70000.0
2018-10-23,台北市大安區基隆路二段112號3樓,3,住宅,33,87.92465319726001,0,0,0,1,1,1,91000.0
2018-10-25,台北市大安區光復南路688號8樓之2,8,住宅,6,33.02392620087,2,2,1,1,1,0,56760.0
2018-11-01,台北市大安區永康街81號5樓之1,5,住宅,12,27.80277601101,2,1,1,1,1,1,53355.0
2018-10-21,台北市中正區和平西路一段９９號十二樓,12,住宅,12,93.39990339636,4,2,2,1,1,1,90000.0
2018-11-11,台北市中正區信義路二段153號12樓,12,住宅,13,77.60637782205,3,2,2,1,1,1,135000.0
2018-11-16,台北市萬華區青年路106巷30弄23號2樓,2,住宅,48,11.12292540447,2,1,1,1,0,0,12000.0
2018-11-06,台北市大同區民生西路112號十樓之2,10,住宅,10,37.93955137962,2,1,2,1,1,0,80000.0
2018-11-15,台北市中山區撫順街15號七樓之3,7,住宅,12,19.50520070928,1,1,1,1,1,0,30000.0
2018-11-17,台北市中山區建國北路三段71號二樓,2,住宅,8,22.66632582423,1,1,1,1,1,0,50000.0
2018-11-05,台北市內湖區民權東路六段146號4樓之16,4,住宅,16,9.58622534859,0,0,0,1,1,0,17000.0
2018-11-14,台北市大安區敦化南路二段98號8樓之1,8,住宅,38,55.17297700629,3,2,2,1,1,0,83000.0
2018-11-01,台北市大安區信義路四段２６５巷１０弄３號四樓,4,住宅,38,64.83180235752,5,2,2,1,1,0,66500.0
2018-11-02,台北市文山區政大二街１３３號十三樓,13,住宅,27,46.86027670401,3,2,2,1,1,1,28000.0
2018-11-18,台北市文山區木柵路四段137號8樓之1,8,住宅,12,63.07730229372,4,2,2,0,1,1,38000.0
2018-11-03,台北市萬華區東園街６６巷２４弄１號二樓之２,2,住宅,6,31.31782613883,2,2,2,1,1,0,28000.0
2018-11-16,台北市士林區中山北路7段14巷29之13號6樓,6,住宅,45,48.73577677221001,4,2,2,1,1,0,60000.0
2018-11-17,台北市士林區葫蘆街53號4樓,4,住宅,47,28.51970103708,3,2,1,1,0,0,17000.0
2018-11-09,台北市士林區中山北路六段157巷11號15樓之6,15,住宅,15,35.40157628733,3,2,1,1,1,0,46400.0
2018-11-08,台北市北投區崗山路５巷１４號四樓,4,住宅,42,35.75852630031,4,2,2,1,0,1,15000.0
2018-10-31,台北市內湖區行善路２８１巷２８號五樓,5,住宅,14,35.3017512837,2,2,1,1,1,1,31000.0
2018-11-16,台北市中山區明水路672巷2樓之2,2,住宅,18,20.24027573601,1,1,1,0,1,1,23000.0
2018-11-07,台北市中山區伊通街８７巷７之１號二樓,2,住宅,29,34.3337512485,3,2,2,1,1,0,36000.0
2018-11-07,台北市內湖區五分街１１３號四樓之１,4,住宅,16,27.81185101134,1,2,1,1,1,1,26000.0
2018-11-16,台北市內湖區金龍路47巷13弄6號1樓,1,住宅,41,30.991126126950004,3,2,2,0,0,0,26000.0
2018-11-06,台北市南港區重陽路３７６號四樓,4,住宅,18,46.08890167596001,3,2,2,1,1,1,36500.0
2018-11-02,台北市南港區經貿二路１５７巷３６弄１０６號九樓,9,住宅,9,100.05792863847,4,2,3,1,1,1,75000.0
2018-10-24,台北市松山區民生東路五段178號14樓,14,住宅,44,39.45507643473,2,2,2,1,1,0,40000.0
2018-11-15,台北市南港區研究院路二段61巷15號7樓,7,住宅,10,76.12412776815,3,2,2,1,1,1,41000.0
2018-11-14,台北市中山區新生北路二段66號七樓之19,7,套房,43,7.314450265980001,1,1,1,0,1,0,12000.0
2018-11-07,台北市中山區中山北路二段44巷25號2樓,2,住宅,15,70.44317756157001,3,2,2,1,1,1,83000.0
2018-11-12,台北市中山區中山北路一段３３巷３９號二樓,2,住宅,43,33.78622622859,3,2,2,1,0,0,33000.0
2018-11-19,台北市中山區合江街83巷18號4樓,4,住宅,41,40.94942648907001,4,2,2,1,1,0,34000.0
2018-10-28,台北市中山區新生北路二段68巷9號八樓,8,住宅,15,15.95385058014,1,1,1,1,1,0,27000.0
2018-11-03,台北市中山區中山北路一段11號十五樓、十五樓之1,15,住宅,26,250.61823411339,0,0,0,0,1,0,380000.0
2018-11-07,台北市士林區忠誠路二段２１巷３１ 之１號二樓,2,住宅,39,34.935726270390006,3,2,2,1,0,0,32000.0
2018-11-08,台北市北投區中山北路七段２１９巷３弄１０１號三樓之１,3,住宅,39,21.9010007964,2,2,1,1,1,0,22500.0
2018-11-19,台北市士林區華齡街58號5樓,5,住宅,43,33.38087621385,3,1,2,1,0,0,18000.0
2018-11-12,台北市北投區知行路７７巷２號三樓,3,住宅,42,32.945276198010006,3,2,1,1,0,0,20000.0
